Date,Time,Day Ahead Price
9/8/2024,11:00,84.084
9/8/2024,12:00,77.3136
9/8/2024,13:00,73.164
9/8/2024,14:00,65.7804
9/8/2024,15:00,74.4156
9/8/2024,16:00,84.6804
9/8/2024,17:00,96.8688
9/8/2024,18:00,100.758
9/8/2024,19:00,96.6
9/8/2024,20:00,84.9408
9/8/2024,21:00,82.0512
9/8/2024,22:00,80.3208
9/8/2024,23:00,80.3208
